interaction_id,user_id,med_id,rating,timestamp
INT00001,U0100,M029,4.8,2024-09-06
INT00002,U0022,M029,4.6,2024-11-19
INT00003,U0113,M024,3.9,2024-01-13
INT00004,U0185,M019,4.0,2024-05-02
INT00005,U0126,M013,4.7,2024-06-06
INT00006,U0128,M018,4.2,2024-08-18
INT00007,U0005,M002,3.4,2024-01-22
INT00008,U0104,M004,4.4,2024-04-18
INT00009,U0168,M022,1.9,2024-10-01
INT00010,U0039,M024,3.5,2024-10-23
INT00011,U0060,M030,5.0,2024-09-07
INT00012,U0168,M001,4.4,2024-08-29
INT00013,U0159,M002,3.9,2024-01-08
INT00014,U0045,M021,5.0,2024-01-26
INT00015,U0079,M027,4.0,2024-03-28
INT00016,U0152,M003,3.0,2024-02-24
INT00017,U0030,M016,2.9,2024-02-02
INT00018,U0052,M014,3.2,2024-06-21
INT00019,U0189,M022,3.5,2024-12-16
INT00020,U0148,M018,4.0,2024-03-11
INT00021,U0083,M027,4.3,2024-01-24
INT00022,U0152,M006,3.7,2024-06-20
INT00023,U0017,M004,3.6,2024-03-27
INT00024,U0179,M012,5.0,2024-10-10
INT00025,U0043,M015,3.8,2024-03-09
INT00026,U0026,M026,4.9,2024-11-19
INT00027,U0157,M013,3.8,2024-09-06
INT00028,U0021,M001,3.7,2024-01-04
INT00029,U0046,M030,4.8,2024-05-25
INT00030,U0107,M023,4.4,2024-08-31
INT00031,U0178,M005,4.1,2024-09-24
INT00032,U0116,M014,4.9,2024-05-02
INT00033,U0045,M020,3.4,2024-09-12
INT00034,U0157,M003,2.8,2024-11-17
INT00035,U0078,M012,2.9,2024-04-08
INT00036,U0031,M017,4.3,2024-02-18
INT00037,U0159,M012,5.0,2024-09-16
INT00038,U0057,M015,2.0,2024-11-16
INT00039,U0169,M007,3.7,2024-03-17
INT00040,U0176,M028,4.3,2024-08-30
INT00041,U0128,M006,4.8,2024-01-28
INT00042,U0166,M012,5.0,2024-05-25
INT00043,U0054,M014,3.8,2024-08-20
INT00044,U0012,M004,4.9,2024-01-27
INT00045,U0138,M006,3.9,2024-09-20
INT00046,U0030,M003,4.0,2024-04-30
INT00047,U0185,M015,3.2,2024-04-11
INT00048,U0192,M022,3.4,2024-06-15
INT00049,U0059,M025,4.2,2024-05-01
INT00050,U0189,M014,4.2,2024-04-12
INT00051,U0097,M029,4.0,2024-09-05
INT00052,U0014,M029,4.7,2024-08-11
INT00053,U0038,M007,4.6,2024-07-17
INT00054,U0096,M005,3.4,2024-08-22
INT00055,U0185,M007,2.3,2024-04-13
INT00056,U0086,M005,2.2,2024-01-17
INT00057,U0178,M019,4.2,2024-08-26
INT00058,U0118,M014,4.0,2024-03-28
INT00059,U0195,M011,3.9,2024-03-21
INT00060,U0164,M020,4.5,2024-03-28
INT00061,U0148,M018,4.0,2024-09-24
INT00062,U0126,M028,3.5,2024-04-20
INT00063,U0152,M016,4.1,2024-08-07
INT00064,U0189,M028,3.2,2024-05-06
INT00065,U0064,M011,3.3,2024-10-29
INT00066,U0039,M030,4.0,2024-10-20
INT00067,U0002,M014,4.0,2024-08-28
INT00068,U0188,M025,3.8,2024-09-15
INT00069,U0009,M014,2.9,2024-12-22
INT00070,U0026,M015,3.6,2024-09-10
INT00071,U0062,M003,3.7,2024-07-27
INT00072,U0056,M005,3.8,2024-07-02
INT00073,U0076,M008,3.6,2024-09-02
INT00074,U0172,M010,3.5,2024-03-23
INT00075,U0181,M015,4.6,2024-01-13
INT00076,U0117,M015,2.8,2024-03-11
INT00077,U0181,M013,4.4,2024-11-16
INT00078,U0119,M023,5.0,2024-11-20
INT00079,U0001,M028,3.3,2024-12-19
INT00080,U0086,M017,3.2,2024-01-17
INT00081,U0076,M014,3.8,2024-11-09
INT00082,U0139,M019,2.6,2024-04-16
INT00083,U0176,M003,3.3,2024-01-29
INT00084,U0132,M030,3.3,2024-12-11
INT00085,U0094,M029,4.5,2024-08-26
INT00086,U0159,M002,4.1,2024-07-06
INT00087,U0094,M006,3.1,2024-10-14
INT00088,U0182,M025,2.8,2024-04-14
INT00089,U0036,M011,3.8,2024-09-01
INT00090,U0189,M025,4.2,2024-10-24
INT00091,U0180,M007,3.8,2024-06-13
INT00092,U0091,M029,2.4,2024-05-16
INT00093,U0129,M022,3.6,2024-07-09
INT00094,U0089,M015,3.9,2024-09-05
INT00095,U0129,M017,4.2,2024-09-29
INT00096,U0174,M027,3.0,2024-09-29
INT00097,U0075,M015,2.8,2024-12-20
INT00098,U0017,M007,2.8,2024-08-22
INT00099,U0023,M003,3.4,2024-02-09
INT00100,U0028,M006,4.1,2024-05-21
INT00101,U0029,M023,4.1,2024-04-14
INT00102,U0134,M021,4.2,2024-01-12
INT00103,U0076,M014,4.8,2024-03-08
INT00104,U0122,M012,3.6,2024-08-03
INT00105,U0114,M024,3.4,2024-02-02
INT00106,U0006,M028,3.3,2024-04-28
INT00107,U0134,M021,3.3,2024-12-01
INT00108,U0166,M026,4.7,2024-06-16
INT00109,U0125,M019,3.3,2024-10-07
INT00110,U0114,M015,3.0,2024-06-04
INT00111,U0146,M005,4.3,2024-05-13
INT00112,U0059,M016,3.4,2024-07-09
INT00113,U0074,M025,4.1,2024-05-25
INT00114,U0117,M006,3.4,2024-11-12
INT00115,U0042,M023,3.3,2024-03-30
INT00116,U0182,M023,3.7,2024-12-07
INT00117,U0040,M006,3.8,2024-06-11
INT00118,U0148,M005,4.0,2024-08-13
INT00119,U0067,M012,4.2,2024-01-18
INT00120,U0171,M011,4.7,2024-06-25
INT00121,U0038,M012,1.7,2024-09-30
INT00122,U0078,M004,4.5,2024-01-13
INT00123,U0104,M030,3.4,2024-08-22
INT00124,U0082,M005,3.8,2024-01-03
INT00125,U0190,M018,4.5,2024-12-27
INT00126,U0076,M016,3.7,2024-05-28
INT00127,U0194,M019,3.1,2024-08-14
INT00128,U0087,M023,2.6,2024-02-27
INT00129,U0188,M016,4.2,2024-10-09
INT00130,U0030,M010,3.5,2024-01-13
INT00131,U0103,M020,4.3,2024-02-17
INT00132,U0084,M002,3.1,2024-11-07
INT00133,U0165,M007,3.3,2024-05-22
INT00134,U0051,M001,3.5,2024-02-12
INT00135,U0138,M028,2.7,2024-02-14
INT00136,U0132,M013,4.2,2024-04-09
INT00137,U0126,M011,3.0,2024-01-29
INT00138,U0171,M012,3.2,2024-07-22
INT00139,U0038,M023,4.3,2024-07-09
INT00140,U0004,M010,3.2,2024-06-25
INT00141,U0090,M010,5.0,2024-02-14
