review_id,user_id,med_id,rating,review_text,timestamp
REV00001,U0196,M021,3.8,Highly recommend. Rating: 3.8,2024-10-11
REV00002,U0012,M025,2.5,Average results. Rating: 2.5,2024-02-23
REV00003,U0195,M012,5.0,Worked very well. Rating: 5.0,2024-12-16
REV00004,U0193,M002,2.7,Not very effective. Rating: 2.7,2024-09-16
REV00005,U0163,M015,3.7,Great relief. Rating: 3.7,2024-09-25
REV00006,U0094,M030,5.0,Great relief. Rating: 5.0,2024-01-05
REV00007,U0088,M008,3.5,Highly recommend. Rating: 3.5,2024-06-21
REV00008,U0043,M023,3.5,No side effects. Rating: 3.5,2024-03-02
REV00009,U0136,M022,5.0,No side effects. Rating: 5.0,2024-08-15
REV00010,U0191,M001,4.1,No side effects. Rating: 4.1,2024-08-29
REV00011,U0184,M008,4.5,Excellent medication. Rating: 4.5,2024-08-27
REV00012,U0107,M004,4.7,Excellent medication. Rating: 4.7,2024-08-06
REV00013,U0200,M020,5.0,Excellent medication. Rating: 5.0,2024-08-28
REV00014,U0034,M029,4.1,Worked very well. Rating: 4.1,2024-04-13
REV00015,U0163,M013,2.9,Not very effective. Rating: 2.9,2024-05-08
REV00016,U0126,M025,2.0,Average results. Rating: 2.0,2024-03-02
REV00017,U0011,M015,2.7,Took time to work. Rating: 2.7,2024-08-02
REV00018,U0028,M029,3.5,No side effects. Rating: 3.5,2024-01-04
REV00019,U0173,M024,4.1,Excellent medication. Rating: 4.1,2024-10-08
REV00020,U0091,M015,4.5,Great relief. Rating: 4.5,2024-09-13
REV00021,U0172,M028,4.4,Great relief. Rating: 4.4,2024-05-30
REV00022,U0197,M005,3.9,Worked very well. Rating: 3.9,2024-04-19
REV00023,U0032,M013,5.0,Worked very well. Rating: 5.0,2024-10-26
REV00024,U0099,M020,2.0,Mild side effects. Rating: 2.0,2024-12-08
REV00025,U0067,M013,3.9,Highly recommend. Rating: 3.9,2024-12-07
REV00026,U0006,M013,2.5,Average results. Rating: 2.5,2024-08-14
REV00027,U0159,M023,3.4,Average results. Rating: 3.4,2024-03-01
REV00028,U0148,M028,2.9,Took time to work. Rating: 2.9,2024-07-05
REV00029,U0023,M011,3.0,Took time to work. Rating: 3.0,2024-01-29
REV00030,U0105,M029,1.6,Mild side effects. Rating: 1.6,2024-06-01
REV00031,U0123,M030,4.2,Excellent medication. Rating: 4.2,2024-01-05
REV00032,U0051,M012,2.9,Took time to work. Rating: 2.9,2024-01-24
REV00033,U0197,M009,5.0,No side effects. Rating: 5.0,2024-03-21
REV00034,U0055,M023,3.5,Great relief. Rating: 3.5,2024-12-21
REV00035,U0148,M005,4.7,Worked very well. Rating: 4.7,2024-05-27
REV00036,U0075,M017,4.6,No side effects. Rating: 4.6,2024-02-03
REV00037,U0190,M014,3.8,Excellent medication. Rating: 3.8,2024-11-03
REV00038,U0004,M011,3.9,Excellent medication. Rating: 3.9,2024-04-27
REV00039,U0097,M016,4.2,Excellent medication. Rating: 4.2,2024-07-05
REV00040,U0100,M023,3.9,No side effects. Rating: 3.9,2024-05-28
REV00041,U0171,M028,2.3,Took time to work. Rating: 2.3,2024-11-10
REV00042,U0060,M010,4.8,Great relief. Rating: 4.8,2024-10-08
REV00043,U0031,M029,3.9,Excellent medication. Rating: 3.9,2024-05-21
